Game,Name,Variant,Class,Gender,HM Bonus,SecondClass,ThirdClass,char_base_stats_Lv,char_base_stats_HP,char_base_stats_S/M,char_base_stats_Skl,char_base_stats_Spd,char_base_stats_Lck,char_base_stats_Def,char_base_stats_Res,char_base_stats_Con,char_base_stats_Mov,char_growth_rates_HP,char_growth_rates_S/M,char_growth_rates_Skl,char_growth_rates_Spd,char_growth_rates_Lck,char_growth_rates_Def,char_growth_rates_Res,second_class_promo_gains_HP,second_class_promo_gains_S/M,second_class_promo_gains_Skl,second_class_promo_gains_Spd,second_class_promo_gains_Def,second_class_promo_gains_Res,second_class_promo_gains_Con,second_class_promo_gains_Mov,third_class_promo_gains_HP,third_class_promo_gains_S/M,third_class_promo_gains_Skl,third_class_promo_gains_Spd,third_class_promo_gains_Def,third_class_promo_gains_Res,third_class_promo_gains_Con,third_class_promo_gains_Mov,class_growth_rates_HP,class_growth_rates_S/M,class_growth_rates_Skl,class_growth_rates_Spd,class_growth_rates_Def,class_growth_rates_Res,class_growth_rates_Lck,class_max_stats_S/M,class_max_stats_Skl,class_max_stats_Spd,class_max_stats_Def,class_max_stats_Res,class_max_stats_Con,class_max_stats_HP,class_max_stats_Lck,class_max_stats_Mov,second_class_growth_rates_HP,second_class_growth_rates_S/M,second_class_growth_rates_Skl,second_class_growth_rates_Spd,second_class_growth_rates_Def,second_class_growth_rates_Res,second_class_growth_rates_Lck,second_class_max_stats_S/M,second_class_max_stats_Skl,second_class_max_stats_Spd,second_class_max_stats_Def,second_class_max_stats_Res,second_class_max_stats_Con,second_class_max_stats_HP,second_class_max_stats_Lck,second_class_max_stats_Mov,third_class_growth_rates_HP,third_class_growth_rates_S/M,third_class_growth_rates_Skl,third_class_growth_rates_Spd,third_class_growth_rates_Def,third_class_growth_rates_Res,third_class_growth_rates_Lck,third_class_max_stats_S/M,third_class_max_stats_Skl,third_class_max_stats_Spd,third_class_max_stats_Def,third_class_max_stats_Res,third_class_max_stats_Con,third_class_max_stats_HP,third_class_max_stats_Lck,third_class_max_stats_Mov,char_growth_rates_adjusted_HP,char_growth_rates_adjusted_S/M,char_growth_rates_adjusted_Skl,char_growth_rates_adjusted_Spd,char_growth_rates_adjusted_Lck,char_growth_rates_adjusted_Def,char_growth_rates_adjusted_Res
FE7,Rath,Lyn's Tale,Nomad,M,0,Nomadic Trooper,N/A,7.0,25.0,8.0,9.0,10.0,5.0,7.0,2.0,8.0,7.0,80.0,50.0,40.0,50.0,30.0,10.0,25.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,65.0,30.0,40.0,45.0,12.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,25.0,30.0,35.0,15.0,15.0,25.0,25.0,28.0,30.0,24.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.15007445,50.71879653125,40.575037225,50.71879653125,30.43127791875,10.14375930625,25.359398265625
FE7,Matthew,Lyn's Tale,Thief,M,0,Assassin,N/A,2.0,18.0,4.0,4.0,11.0,2.0,3.0,0.0,7.0,6.0,75.0,30.0,40.0,70.0,50.0,25.0,20.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,50.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,50.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,30.0,30.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,75.7154476875,30.286179074999996,40.3815721,70.667751175,50.47696512499999,25.238482562499996,20.19078605
FE7,Nils,Lyn's Tale,Bard,M,0,N/A,N/A,1.0,14.0,0.0,0.0,12.0,10.0,5.0,4.0,3.0,5.0,85.0,5.0,5.0,70.0,80.0,30.0,70.0,,,,,,,,,,,,,,,,,45.0,45.0,30.0,60.0,0.0,13.0,70.0,10.0,10.0,30.0,24.0,26.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.14523393231093,5.008543172488878,5.008543172488878,70.11960441484429,80.13669075982205,30.05125903493327,70.11960441484429
FE7,Lucius,Lyn's Tale,Monk,M,0,Bishop,N/A,3.0,18.0,7.0,6.0,10.0,2.0,1.0,6.0,6.0,5.0,55.0,60.0,50.0,40.0,20.0,10.0,60.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,,,,,,,,,50.0,30.0,35.0,32.0,8.0,40.0,45.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,35.0,25.0,22.0,8.0,40.0,40.0,25.0,26.0,24.0,22.0,30.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,55.868662558720004,60.947631882239996,50.7896932352,40.63175458816001,20.315877294080003,10.157938647040002,60.947631882239996
FE7,Wallace,Lyn's Tale,Knight,M,0,General,N/A,12.0,30.0,13.0,7.0,5.0,10.0,15.0,2.0,13.0,4.0,70.0,45.0,40.0,20.0,30.0,35.0,35.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,80.0,40.0,30.0,15.0,28.0,20.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,30.0,20.0,10.0,23.0,25.0,20.0,29.0,27.0,24.0,30.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,71.67804389672919,46.078742505040196,40.9588822267024,20.4794411133512,30.7191616700268,35.839021948364596,35.839021948364596
FE7,Eliwood,Eliwood/Hector's Tale,Lord (Eliwood),M,0,Knight Lord,N/A,1.0,18.0,5.0,5.0,7.0,7.0,5.0,0.0,7.0,5.0,80.0,45.0,50.0,40.0,45.0,30.0,35.0,4.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,90.0,45.0,40.0,45.0,15.0,15.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,90.0,45.0,40.0,45.0,15.0,15.0,40.0,27.0,26.0,24.0,23.0,25.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,80.666115895445,45.37469019118781,50.41632243465312,40.3330579477225,45.37469019118781,30.249793460791874,35.291425704257186
FE7,Lowen,Eliwood/Hector's Tale,Cavalier,M,0,Paladin,N/A,2.0,23.0,7.0,5.0,7.0,3.0,7.0,0.0,10.0,7.0,90.0,30.0,30.0,30.0,50.0,40.0,30.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,75.0,35.0,40.0,28.0,15.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,70.0,25.0,30.0,18.0,12.0,20.0,25.0,25.0,26.0,24.0,25.0,25.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,90.65293948881,30.21764649627,30.21764649627,30.21764649627,50.36274416045,40.29019532836,30.21764649627
FE7,Marcus,Eliwood/Hector's Tale,Paladin,M,0,N/A,N/A,1.0,31.0,15.0,15.0,11.0,8.0,10.0,8.0,11.0,8.0,65.0,30.0,50.0,25.0,30.0,15.0,35.0,,,,,,,,,,,,,,,,,70.0,25.0,30.0,18.0,12.0,20.0,25.0,25.0,26.0,24.0,25.0,25.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.39168968416175,31.10385677730542,51.839761295509035,25.919880647754518,31.10385677730542,15.55192838865271,36.28783290685632
FE7,Rebecca,Eliwood/Hector's Tale,Archer,F,0,Sniper,N/A,1.0,17.0,4.0,5.0,6.0,4.0,3.0,1.0,5.0,5.0,60.0,40.0,50.0,60.0,50.0,15.0,30.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,70.0,35.0,40.0,32.0,15.0,20.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,65.0,30.0,30.0,20.0,15.0,25.0,30.0,24.0,30.0,29.0,24.0,24.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,60.869035104000005,40.579356736,50.72419592000001,60.869035104000005,50.72419592000001,15.217258776000001,30.434517552000003
FE7,Dorcas,Eliwood/Hector's Tale,Fighter,M,0,Warrior,N/A,3.0,30.0,7.0,7.0,6.0,3.0,3.0,0.0,14.0,5.0,80.0,60.0,40.0,20.0,45.0,25.0,15.0,3.0,1.0,2.0,0.0,3.0,3.0,2.0,1.0,,,,,,,,,85.0,55.0,35.0,30.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,80.0,45.0,25.0,20.0,16.0,17.0,15.0,30.0,28.0,26.0,26.0,22.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.09162234368,60.81871675776001,40.54581117184,20.27290558592,45.61403756832,25.3411319824,15.204679189440002
FE7,Bartre,Eliwood/Hector's Tale,Fighter,M,0,Warrior,N/A,2.0,29.0,9.0,5.0,3.0,4.0,4.0,0.0,13.0,5.0,85.0,50.0,35.0,40.0,30.0,30.0,25.0,3.0,1.0,2.0,0.0,3.0,3.0,2.0,1.0,,,,,,,,,85.0,55.0,35.0,30.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,80.0,45.0,25.0,20.0,16.0,17.0,15.0,30.0,28.0,26.0,26.0,22.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,85.9235185453457,50.543246203144534,35.38027234220117,40.43459696251563,30.32594772188672,30.32594772188672,25.271623101572267
FE7,Hector,Eliwood/Hector's Tale,Lord (Hector),M,0,Great Lord,N/A,1.0,19.0,7.0,4.0,5.0,3.0,8.0,0.0,13.0,5.0,90.0,60.0,45.0,35.0,30.0,50.0,25.0,3.0,0.0,2.0,3.0,1.0,5.0,2.0,0.0,,,,,,,,,90.0,45.0,40.0,45.0,15.0,12.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,90.0,45.0,40.0,45.0,15.0,20.0,40.0,30.0,24.0,24.0,29.0,20.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,90.33910565751563,60.22607043834375,45.169552828757816,35.13187442236719,30.113035219171874,50.18839203195312,25.09419601597656
FE7,Oswin,Eliwood/Hector's Tale,Knight,M,0,General,N/A,9.0,28.0,13.0,9.0,5.0,3.0,13.0,3.0,14.0,4.0,90.0,40.0,30.0,30.0,35.0,55.0,30.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,80.0,40.0,30.0,15.0,28.0,20.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,30.0,20.0,10.0,23.0,25.0,20.0,29.0,27.0,24.0,30.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,90.54502975675103,40.242235447444905,30.181676585583673,30.181676585583673,35.211956016514286,55.333073740236735,30.181676585583673
FE7,Serra,Eliwood/Hector's Tale,Cleric,F,0,Bishop,N/A,1.0,17.0,2.0,5.0,8.0,6.0,2.0,5.0,4.0,5.0,50.0,50.0,30.0,40.0,60.0,15.0,55.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,50.0,30.0,35.0,32.0,8.0,50.0,45.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,35.0,25.0,22.0,8.0,50.0,40.0,25.0,25.0,26.0,21.0,30.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,50.816154211249994,50.816154211249994,30.489692526749995,40.652923369,60.97938505349999,15.244846263374997,55.897769632375
FE7,Matthew,Eliwood/Hector's Tale,Thief,M,0,Assassin,N/A,2.0,18.0,4.0,4.0,11.0,2.0,3.0,0.0,7.0,6.0,75.0,30.0,40.0,70.0,50.0,25.0,20.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,50.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,50.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,30.0,30.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,75.7154476875,30.286179074999996,40.3815721,70.667751175,50.47696512499999,25.238482562499996,20.19078605
FE7,Guy,Eliwood/Hector's Tale,Myrmidon,M,5,Swordmaster,N/A,3.0,21.0,6.0,11.0,11.0,5.0,5.0,0.0,5.0,5.0,75.0,30.0,50.0,70.0,45.0,15.0,25.0,5.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,,,,,,,,,70.0,35.0,40.0,40.0,15.0,20.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,65.0,25.0,30.0,30.0,15.0,22.0,25.0,24.0,29.0,30.0,22.0,23.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,75.69664636051941,30.278658544207765,50.46443090701294,70.6502032698181,45.417987816311644,15.139329272103883,25.23221545350647
FE7,Merlinus,Eliwood/Hector's Tale,Transporter (Tent),M,0,Transporter (Wagon),N/A,5.0,18.0,0.0,4.0,5.0,12.0,5.0,2.0,25.0,0.0,120.0,0.0,90.0,90.0,100.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,10.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,120.0,0.0,90.0,90.0,100.0,30.0,15.0
FE7,Erk,Eliwood/Hector's Tale,Mage,M,0,Sage,N/A,1.0,17.0,5.0,6.0,7.0,3.0,2.0,4.0,5.0,5.0,65.0,40.0,40.0,50.0,30.0,20.0,40.0,4.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,,,,,,,,,55.0,55.0,40.0,35.0,5.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,45.0,30.0,25.0,10.0,40.0,15.0,28.0,30.0,26.0,21.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,66.40504547456,40.86464336896,40.86464336896,51.080804211200004,30.648482526719995,20.43232168448,40.86464336896
FE7,Priscilla,Eliwood/Hector's Tale,Troubadour,F,0,Valkyrie,N/A,3.0,16.0,6.0,6.0,8.0,7.0,3.0,6.0,4.0,7.0,45.0,40.0,50.0,40.0,65.0,15.0,50.0,3.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,,,,,,,,,50.0,25.0,35.0,55.0,12.0,40.0,45.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,35.0,25.0,45.0,10.0,40.0,40.0,25.0,24.0,25.0,24.0,28.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,45.67244005975782,40.5977244975625,50.747155621953134,40.5977244975625,65.97130230853907,15.224146686585938,50.747155621953134
FE7,Lyn,Eliwood/Hector's Tale,Lord (Lyn),F,0,Blade Lord,N/A,4.0,18.0,5.0,10.0,11.0,5.0,2.0,0.0,5.0,5.0,70.0,40.0,60.0,60.0,55.0,20.0,30.0,3.0,2.0,2.0,0.0,3.0,5.0,1.0,1.0,,,,,,,,,90.0,45.0,40.0,45.0,15.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,90.0,45.0,40.0,45.0,15.0,12.0,40.0,24.0,29.0,30.0,22.0,22.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,70.5117190930432,40.29241091031041,60.438616365465606,60.438616365465606,55.40206500167682,20.146205455155204,30.219308182732803
FE7,Wil,Eliwood/Hector's Tale,Archer,M,0,Sniper,N/A,4.0,21.0,6.0,5.0,6.0,7.0,5.0,1.0,6.0,5.0,75.0,50.0,50.0,40.0,40.0,20.0,25.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,70.0,35.0,40.0,32.0,15.0,15.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,65.0,30.0,30.0,20.0,15.0,20.0,30.0,25.0,30.0,28.0,25.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,76.02616875,50.6841125,50.6841125,40.547290000000004,40.547290000000004,20.273645000000002,25.34205625
FE7,Kent,Eliwood/Hector's Tale,Cavalier,M,0,Paladin,N/A,5.0,23.0,8.0,7.0,8.0,4.0,6.0,1.0,9.0,7.0,85.0,40.0,50.0,45.0,20.0,25.0,25.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,75.0,35.0,40.0,28.0,15.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,70.0,25.0,30.0,18.0,12.0,20.0,25.0,25.0,26.0,24.0,25.0,25.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,85.95723123203125,40.45046175625,50.5630771953125,45.50676947578125,20.225230878125,25.28153859765625,25.28153859765625
FE7,Sain,Eliwood/Hector's Tale,Cavalier,M,0,Paladin,N/A,4.0,22.0,9.0,5.0,7.0,5.0,7.0,0.0,9.0,7.0,80.0,60.0,35.0,40.0,35.0,20.0,20.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,75.0,35.0,40.0,28.0,15.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,70.0,25.0,30.0,18.0,12.0,20.0,25.0,25.0,26.0,24.0,25.0,25.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.05181277061119,60.7888595779584,35.4601680871424,40.525906385305596,35.4601680871424,20.262953192652798,20.262953192652798
FE7,Florina,Eliwood/Hector's Tale,Pegasus Knight,F,0,Falcoknight,N/A,3.0,18.0,6.0,8.0,9.0,8.0,4.0,5.0,4.0,7.0,60.0,40.0,50.0,55.0,50.0,15.0,35.0,5.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,,,,,,,,,65.0,35.0,40.0,40.0,12.0,35.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,30.0,30.0,30.0,12.0,30.0,30.0,23.0,25.0,28.0,23.0,26.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,60.908401908375,40.605601272250006,50.7570015903125,55.83270174934375,50.7570015903125,15.22710047709375,35.52990111321875
FE7,Raven,Eliwood/Hector's Tale,Mercenary,M,5,Hero,N/A,5.0,25.0,8.0,11.0,13.0,2.0,5.0,1.0,8.0,5.0,85.0,55.0,40.0,45.0,35.0,25.0,15.0,4.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,80.0,40.0,40.0,32.0,18.0,20.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,30.0,30.0,20.0,20.0,20.0,25.0,25.0,30.0,26.0,25.0,22.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,85.79180898085195,55.51234698761009,40.37261599098915,45.41919298986279,35.32603899211551,25.23288499436822,15.139730996620932
FE7,Lucius,Eliwood/Hector's Tale,Monk,M,0,Bishop,N/A,3.0,18.0,7.0,6.0,10.0,2.0,1.0,6.0,6.0,5.0,55.0,60.0,50.0,40.0,20.0,10.0,60.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,,,,,,,,,50.0,30.0,35.0,32.0,8.0,40.0,45.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,35.0,25.0,22.0,8.0,40.0,40.0,25.0,26.0,24.0,22.0,30.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,55.868662558720004,60.947631882239996,50.7896932352,40.63175458816001,20.315877294080003,10.157938647040002,60.947631882239996
FE7,Canas,Eliwood/Hector's Tale,Shaman,M,0,Druid,N/A,8.0,21.0,10.0,9.0,8.0,7.0,5.0,8.0,7.0,5.0,70.0,45.0,40.0,35.0,25.0,25.0,45.0,4.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,50.0,50.0,32.0,30.0,10.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,55.0,30.0,25.0,10.0,35.0,20.0,29.0,26.0,26.0,21.0,28.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,71.42132346386303,45.91370794105481,40.81218483649317,35.710661731931516,25.507615522808223,25.507615522808223,45.91370794105481
FE7,Dart,Eliwood/Hector's Tale,Pirate,M,0,Berserker,N/A,8.0,34.0,12.0,8.0,8.0,3.0,6.0,1.0,10.0,5.0,70.0,65.0,20.0,60.0,35.0,20.0,15.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,75.0,50.0,35.0,25.0,10.0,13.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,50.0,35.0,25.0,10.0,13.0,15.0,30.0,29.0,28.0,23.0,21.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,71.0550230699008,65.9796642791936,20.301435162828803,60.9043054884864,35.5275115349504,20.301435162828803,15.2260763721216
FE7,Fiora,Eliwood/Hector's Tale,Pegasus Knight,F,0,Falcoknight,N/A,7.0,21.0,8.0,11.0,13.0,6.0,6.0,7.0,5.0,7.0,70.0,35.0,60.0,50.0,30.0,20.0,50.0,5.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,,,,,,,,,65.0,35.0,40.0,40.0,12.0,35.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,30.0,30.0,30.0,12.0,30.0,30.0,23.0,25.0,28.0,23.0,26.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,70.77274724799999,35.386373623999994,60.662354783999994,50.55196232,30.331177391999997,20.220784928,50.55196232
FE7,Legault,Eliwood/Hector's Tale,Thief,M,5,Assassin,N/A,12.0,26.0,8.0,11.0,15.0,10.0,8.0,3.0,9.0,6.0,60.0,25.0,45.0,60.0,60.0,25.0,25.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,50.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,50.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,30.0,30.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,60.904231349999996,25.3767630625,45.678173512499995,60.904231349999996,60.904231349999996,25.3767630625,25.3767630625
FE7,Ninian,Eliwood/Hector's Tale,Dancer,F,0,N/A,N/A,1.0,14.0,0.0,0.0,12.0,10.0,5.0,4.0,4.0,5.0,85.0,5.0,5.0,70.0,80.0,30.0,70.0,,,,,,,,,,,,,,,,,45.0,45.0,30.0,60.0,0.0,13.0,70.0,10.0,10.0,30.0,24.0,26.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.14523393231093,5.008543172488878,5.008543172488878,70.11960441484429,80.13669075982205,30.05125903493327,70.11960441484429
FE7,Isadora,Eliwood/Hector's Tale,Paladin,F,0,N/A,N/A,1.0,28.0,13.0,12.0,16.0,10.0,8.0,6.0,6.0,8.0,75.0,30.0,35.0,50.0,45.0,20.0,25.0,,,,,,,,,,,,,,,,,70.0,25.0,35.0,25.0,12.0,25.0,25.0,23.0,27.0,25.0,24.0,26.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.43407619824218,30.573630479296877,35.66923555917968,50.95605079882812,45.860445718945314,20.38242031953125,25.47802539941406
FE7,Heath,Eliwood/Hector's Tale,Wyvern Rider,M,5,Wyvern Lord,N/A,7.0,28.0,11.0,8.0,7.0,7.0,10.0,1.0,9.0,7.0,80.0,50.0,50.0,45.0,20.0,30.0,20.0,4.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,,,,,,,,,80.0,45.0,35.0,30.0,25.0,15.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,40.0,30.0,20.0,20.0,17.0,20.0,27.0,25.0,23.0,28.0,22.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,80.997742592,50.62358912,50.62358912,45.561230208000005,20.249435648,30.374153472,20.249435648
FE7,Rath,Eliwood/Hector's Tale,Nomad,M,0,Nomadic Trooper,N/A,9.0,27.0,9.0,10.0,11.0,5.0,8.0,2.0,7.0,7.0,80.0,50.0,40.0,50.0,30.0,10.0,25.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,65.0,30.0,40.0,45.0,12.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,25.0,30.0,35.0,15.0,15.0,25.0,25.0,28.0,30.0,24.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.15007445,50.71879653125,40.575037225,50.71879653125,30.43127791875,10.14375930625,25.359398265625
FE7,Hawkeye,Eliwood/Hector's Tale,Berserker,M,0,N/A,N/A,4.0,50.0,18.0,14.0,11.0,13.0,14.0,10.0,16.0,6.0,50.0,40.0,30.0,25.0,40.0,20.0,35.0,,,,,,,,,,,,,,,,,75.0,50.0,35.0,25.0,10.0,13.0,15.0,30.0,29.0,28.0,23.0,21.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.57773698,42.062189584,31.546642187999996,26.28886849,42.062189584,21.031094792,36.804415885999994
FE7,Geitz,Eliwood/Hector's Tale,Warrior,M,5,N/A,N/A,3.0,40.0,17.0,12.0,13.0,10.0,11.0,3.0,13.0,6.0,85.0,50.0,30.0,40.0,40.0,20.0,20.0,,,,,,,,,,,,,,,,,80.0,45.0,25.0,20.0,16.0,17.0,15.0,30.0,28.0,26.0,26.0,22.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.04059662336,50.61211566080001,30.367269396479994,40.489692528640006,40.489692528640006,20.244846264320003,20.244846264320003
FE7,Farina,Eliwood/Hector's Tale,Pegasus Knight,F,0,Falcoknight,N/A,12.0,24.0,10.0,13.0,14.0,10.0,10.0,12.0,5.0,7.0,75.0,50.0,40.0,45.0,45.0,25.0,30.0,5.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,,,,,,,,,65.0,35.0,40.0,40.0,12.0,35.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,30.0,30.0,30.0,12.0,30.0,30.0,23.0,25.0,28.0,23.0,26.0,25.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,75.90396059490968,50.602640396606446,40.48211231728516,45.5423763569458,45.5423763569458,25.301320198303223,30.361584237963868
FE7,Pent,Eliwood/Hector's Tale,Sage,M,0,N/A,N/A,6.0,33.0,18.0,21.0,17.0,14.0,11.0,16.0,8.0,6.0,50.0,30.0,20.0,40.0,40.0,30.0,35.0,,,,,,,,,,,,,,,,,45.0,45.0,30.0,25.0,10.0,40.0,15.0,28.0,30.0,26.0,21.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.39837532479999,31.439025194879992,20.95935012992,41.91870025984,41.91870025984,31.439025194879992,36.67886272736
